words                          tfidf
00                          6.512885
000                         7.505014
001                         8.603626
002                         9.902909
003                         9.615227
004                         9.392083
005                         9.392083
006                        10.308374
007                         9.902909
0079                       10.308374
008                         9.615227
01                          8.111150
010                         9.902909
0108                       10.308374
011                        10.308374
012                         9.902909
016                        10.308374
018                        10.308374
02                          8.804297
022                         9.615227
025                        10.308374
028                         9.902909
029                         9.902909
03                          9.055611
031                        10.308374
032                        10.308374
037                         9.615227
04                          9.055611
041                         9.615227
044                         9.902909
0444                       10.308374
047                         9.392083
05                          7.956999
050                        10.308374
051                         9.902909
054                        10.308374
058                         9.209762
059                        10.308374
06                          8.436572
060314                      9.392083
068                        10.308374
07                          9.902909
074                        10.308374
08                         10.308374
0808                       10.308374
09                          8.362464
090                        10.308374
0972                       10.308374
10                          4.122165
100                         5.649663
1000                        8.603626
10000                      10.308374
1001                        9.902909
1002                       10.308374
1003                       10.308374
1004                        9.615227
1005                        9.615227
1006                        9.902909
1007                        9.209762
1008                        9.615227
101                         6.524184
1010                        9.615227
1013150                    10.308374
1019                        9.392083
102                         6.396351
1022                       10.308374
1025                       10.308374
1028                       10.308374
1029                        9.615227
103                         5.370310
1031                       10.308374
1032                        9.615227
1033                        9.902909
1035                        9.209762
1036                        9.392083
1037                       10.308374
1038                        9.392083
1039                       10.308374
104                         5.520882
1040                        9.392083
1041                        8.111150
1042                        9.209762
1043                        9.055611
1045                        9.615227
1046                        9.902909
1047                        9.209762
1048                        9.615227
1049                        7.910479
105                         5.848230
1050                        8.922080
1051                        8.603626
1052                        8.922080
1053                        8.922080
1054                        7.446173
1055                        8.057082
1056                        9.902909
1057                        9.392083
1058                       10.308374
1059                       10.308374
106                         6.724855
1061                        7.743425
1062                       10.308374
1063                        8.111150
1064                        9.615227
1065                        8.005789
1067                        9.902909
1068                        9.055611
1069                        7.567534
107                         3.872224
1070                        8.698936
1071                       10.308374
1072                        9.902909
1073                       10.308374
1074                       10.308374
1075                        8.698936
1076                        7.475161
1077                        9.392083
1078                        9.615227
1079                        8.005789
108                         5.932617
1080                        9.902909
1081                        9.615227
1082                        8.698936
1084                        7.263852
1086                        8.922080
1088                        9.392083
1089                        8.603626
109                         5.971083
1090                        9.392083
1092                        9.902909
1093                        8.362464
1094                        9.902909
1095                        9.615227
1097                        9.392083
1098                        9.615227
1099                       10.308374
10a                         3.740999
10o                         8.922080
11                          4.536933
110                         6.214030
1100                        9.209762
1102                       10.308374
1103                        9.902909
1104                        8.922080
1105                       10.308374
1107                        9.615227
1108                        9.902909
1109                       10.308374
111                         6.328692
1110                       10.308374
1111                        9.902909
1112                        9.615227
1113                        9.392083
1114                        8.804297
1115                        9.055611
1116                        9.615227
1117                        9.055611
1118                        9.615227
112                         6.126324
1120                        9.209762
1121                       10.308374
1122                        9.902909
1123                        9.902909
1125                       10.308374
1126                        9.615227
1127                        9.392083
1129                       10.308374
113                         5.418025
1130                        9.902909
1131                        9.902909
1134                       10.308374
1135                        9.615227
1136                        9.615227
1139                        9.902909
114                         5.440840
1140                       10.308374
1141                        9.392083
1142                        9.392083
1143                        9.392083
1144                       10.308374
1148                        9.902909
1149                       10.308374
115                         5.703204
1150                       10.308374
1151                        8.922080
1152                        9.615227
1153                        9.615227
1154                        9.615227
1155                        9.902909
1156                        9.615227
1157                        9.615227
1158                        9.615227
1159                        8.436572
116                         5.554784
1160                        9.902909
1161                        9.615227
1162                        8.922080
1163                       10.308374
1164                        9.902909
1165                        8.804297
1166                       10.308374
1167                        9.055611
1168                        8.111150
117                         5.668802
1170                       10.308374
1171                        8.922080
1172                        9.902909
1173                       10.308374
1175                        8.804297
1176                        9.055611
1178                        9.392083
1179                       10.308374
118                         6.767415
1180                        9.209762
1181                        9.392083
1183                        9.055611
1184                       10.308374
1185                        9.392083
1187                        9.055611
1189                        9.902909
119                         5.871623
1191                        9.902909
1193                        9.902909
1194                        8.111150
1195                        8.603626
1196                        9.055611
1197                        8.804297
1198                        8.804297
1199                        9.615227
11o                         9.615227
12                          4.497233
120                         6.328692
1201                        9.902909
1202                       10.308374
1203                        9.392083
1205                        9.055611
1206                       10.308374
1207                        9.392083
121                         6.291991
1212                       10.308374
1213                        9.902909
1214                        9.392083
1215                       10.308374
1216                        9.902909
1217                       10.308374
122                         6.366792
1222                        9.902909
1223                        9.902909
1224                        9.392083
1227                       10.308374
1229                       10.308374
123                         4.392172
1230                       10.308374
1231                       10.308374
1232                        9.902909
1233                       10.308374
1237                        9.209762
1238                        9.392083
124                         5.678511
1241                        9.209762
1242                        9.615227
1243                        9.615227
1244                        9.392083
1245                        9.902909
1247                        9.615227
125                         6.149491
1250                        9.392083
1251                       10.308374
1252                        9.902909
1253                        8.804297
1254                        9.902909
1255                        9.615227
1257                        9.902909
1258                        9.392083
126                         6.558870
1266                       10.308374
127                         6.366792
1275                       10.308374
1276                       10.308374
1277                       10.308374
1278                       10.308374
1279                       10.308374
128                         5.291094
1280                        9.615227
1281                        9.902909
1282                        9.902909
1283                       10.308374
1284                        9.392083
1285                        8.804297
1286                        9.902909
1287                       10.308374
1288                        9.902909
129                         6.011089
1291                       10.308374
1292                        9.902909
1293                       10.308374
1295                       10.308374
1296                        9.209762
1297                        9.902909
1298                        9.615227
1299                       10.308374
13                          4.711806
130                         6.126324
1301                        9.902909
1302                       10.308374
1303                        9.902909
1304                       10.308374
1305                       10.308374
1306                       10.308374
1307                        9.615227
1308                       10.308374
1309                       10.308374
131                         6.111172
1310                       10.308374
1314                        9.902909
1316                        9.902909
132                         6.081540
1320                       10.308374
1321                        9.615227
1322                        9.209762
1323                        9.615227
1324                       10.308374
1325                        9.902909
1326                       10.308374
1327                        9.055611
1329                        9.902909
133                         5.563442
1330                        9.615227
1331                        9.902909
1332                       10.308374
1334                        7.910479
1335                        9.209762
1336                        9.392083
1337                        9.392083
1339                        6.958470
134                         6.111172
1340                        7.782645
1341                        8.603626
1342                        9.392083
1343                       10.308374
1344                        8.603626
1345                        8.228933
1346                        9.392083
1347                        9.392083
1348                        9.209762
1349                        9.615227
135                         6.301041
1350                       10.308374
1355                       10.308374
1357                       10.308374
1358                        9.902909
1359                        9.902909
136                         6.256589
1360                       10.308374
1362                        9.209762
1363                        9.615227
1364                        9.055611
1365                        9.902909
1366                       10.308374
1367                        9.902909
1368                        9.392083
137                         6.396351
1370                       10.308374
1373                        9.615227
1374                        9.902909
1375                        9.902909
1376                        9.902909
1377                        8.804297
1378                        8.603626
1379                       10.308374
138                         5.951665
1380                        9.209762
1381                       10.308374
1382                        9.615227
1383                       10.308374
1384                       10.308374
1386                       10.308374
1387                        9.209762
1389                        9.902909
139                         6.447644
1390                        6.310173
1391                        7.390603
1392                        8.057082
1393                        7.823467
1394                        8.436572
1395                        9.055611
1396                        9.392083
1397                        9.615227
1398                       10.308374
1399                        9.615227
13o                         9.615227
14                          3.677031
140                         6.338082
1400                        9.615227
1401                        8.603626
1402                        9.209762
1403                        9.615227
1404                       10.308374
1405                        9.392083
1406                        9.902909
1407                        9.902909
1408                        9.902909
1409                        9.615227
141                         6.437173
1410                        9.055611
1411                        9.209762
141112                     10.308374
1412                        8.698936
1413                        9.902909
1414                        8.111150
1415                       10.308374
142                         6.976170
1422                       10.308374
1424                        9.615227
1425                       10.308374
1429                        9.615227
143                         6.738841
1430                       10.308374
1431                       10.308374
1434                       10.308374
144                         6.811867
1441                        9.902909
1442                        9.902909
1444                       10.308374
1445                        9.615227
1446                       10.308374
145                         6.386401
1455                       10.308374
1457                        9.209762
1458                       10.308374
1459                        9.902909
146                         6.366792
1460                       10.308374
1461                        9.055611
1462                        9.615227
1464                        9.615227
1465                       10.308374
1466                       10.308374
1468                       10.308374
147                         6.111172
1470                        9.209762
1471                        9.902909
1472                       10.308374
1473                        9.615227
1476                        9.902909
1477                       10.308374
1478                        9.902909
1479                       10.308374
148                         6.811867
1480                        9.902909
1487                        9.902909
1489                       10.308374
149                         7.089498
1490                       10.308374
1495                       10.308374
1497                        9.902909
1499                       10.308374
15                          4.480900
150                         6.157334
1500                        9.209762
1501                        9.902909
1502                       10.308374
1504                        9.615227
1506                       10.308374
151                         6.328692
1511                       10.308374
1519                        9.902909
152                         6.547174
1520                       10.308374
15206                      10.308374
15207                      10.308374
1523                       10.308374
1524                       10.308374
1525                       10.308374
1529                       10.308374
153                         6.437173
1530                        9.902909
1535                       10.308374
1537                        9.902909
154                         6.535613
1540                       10.308374
1541                       10.308374
1542                       10.308374
1544                       10.308374
1546                       10.308374
1548                        9.902909
155                         6.782014
1555                       10.308374
1556                        9.902909
156                         6.958470
1565                       10.308374
1568                        9.615227
157                         6.657716
1572                       10.308374
15766                       9.209762
15776                      10.308374
158                         6.328692
1583                       10.308374
1585                       10.308374
1587                       10.308374
159                         6.328692
1590                        9.902909
1592                        9.902909
1593                       10.308374
16                          3.944484
160                         6.724855
1602                        9.615227
160452                     10.308374
1605                       10.308374
1606                       10.308374
1608                       10.308374
1609                        9.902909
161                         6.684033
161140                     10.308374
161621                     10.308374
1617                       10.308374
1619                        9.902909
162                         6.711062
1621                       10.308374
1628                       10.308374
163                         6.607072
163287                     10.308374
1633                       10.308374
1635                        9.902909
1639                       10.308374
164                         6.738841
1646                       10.308374
1647                       10.308374
164798                     10.308374
165                         6.907177
165034                     10.308374
1651                       10.308374
165165                     10.308374
1656                       10.308374
165763                     10.308374
166                         6.958470
1667                        9.902909
1668                       10.308374
167                         6.458227
1670                        9.902909
1672                        9.902909
1676                       10.308374
1677                       10.308374
168                         6.657716
1680                       10.308374
1687                       10.308374
169                         7.012537
16912                       9.902909
17                          3.379347
170                         5.464187
1702                       10.308374
170353                     10.308374
1704                        9.902909
1706                        9.902909
170625                     10.308374
1708                        9.615227
1709                        9.902909
171                         6.081540
17114                      10.308374
1717                        9.902909
1719                       10.308374
172                         6.205731
1727                       10.308374
172759                      9.902909
173                         6.458227
1730                        9.615227
1733                       10.308374
1734                       10.308374
1735                        9.902909
1736                       10.308374
1738                       10.308374
173843                     10.308374
174                         6.111172
1740                       10.308374
1741                       10.308374
1742                       10.308374
174481                     10.308374
1745                        9.902909
1746                       10.308374
1747                       10.308374
174709                     10.308374
1748                       10.308374
175                         6.782014
1751                       10.308374
1752                       10.308374
175302                     10.308374
